English,Arabic
ready,جاهز
above,في الاعلى
ever,أبدا
red,أحمر
list,قائمة
though,رغم ذلك
feel,شعور
talk,حديث
bird,الطير
soon,هكذا
body,الجسم
dog,كلب
family,الأسرة
direct,مباشرة
pose,يشير إلى
leave,غادر
song,أغنية
measure,يقيس
door,باب
product,منتج
black,أسود
short,قصير القامة
numeral,عددي
class,صف دراسي
wind,ريح
question,سؤال
happen,يحدث
complete,اكتمال
ship,سفينة
area,منطقة
half,نصف
rock,صخر
order,ترتيب
fire,إطلاق النار
south,جنوب
problem,مشكلة
piece,قطعة
told,أخبر
knew,عرف
pass,نجاح
since,حيث
top,أعلى
whole,كل
king,ملك
street,شارع
inch,بوصة
multiply,تتضاعف
nothing,لا شيئ
course,مسار
stay,يقضي
wheel,عجلة
full,ممتلىء
force,فرض
blue,أزرق
object,موضوع
decide,يقرر
surface,سطح - المظهر الخارجي
deep,عميق
moon,القمر
island,جزيرة
foot,قدم
system,النظام
busy,مشغول
test,اختبار
record,سجل
boat,قارب
common,مشترك
gold,ذهب
possible,ممكن
plane,طائرة
stead,عوضا
dry,جاف
wonder,يتساءل
laugh,يضحك
thousand,ألف
ago,منذ
ran,جرى
check,التحقق من
game,لعبه
shape,شكل
equate,ايكويت
hot,الحار
miss,يفتقد
brought,جلبت
heat,الحرارة
snow,ثلج
tire,إطار العجلة
bring,احضر
yes,نعم
distant,بعيد
fill,ملء
east,الشرق
paint,رسم
language,لغة
among,ضمن
unit,وحدة
power,قوة
town,قرية
fine,بخير
certain,تأكيد
fly,يطير
fall,خريف
lead,قيادة
cry,بكاء
dark,داكن
machine,آلة
note,ملاحظة
wait,انتظر
plan,خطة
figure,الشكل
star,نجمة
box,صندوق
noun,اسم
field,مجال
rest,راحة
correct,صيح
able,قادر
pound,جنيه
done,منجز
beauty,جمال
drive,قيادة
stood,وقف
contain,يحتوي
front,أمام
teach,يعلم
week,أسبوع
final,نهائي
gave,أعطى
green,لون أخضر
oh,أوه
quick,بسرعة
develop,طور
ocean,محيط
warm,دافئ
free,مجانا
minute,دقيقة
strong,قوي
special,خاص
mind,عقل _ يمانع
behind,وراء
clear,صافي
tail,ذيل
produce,ينتج
fact,حقيقة
space,الفضاء
heard,سمع
best,أفضل
hour,ساعة
better,أفضل
TRUE,حقيقية
during,أثناء
hundred,مائة
five,خمسة
remember,تذكر
step,خطوة
early,مبكرا
hold,معلق
west,غرب
ground,أرض
interest,فائدة
reach,يصل
fast,سريع
verb,الفعل
sing,يغني
listen,استمع
six,ستة
table,الطاولة
travel,السفر
less,أقل
morning,صباح
ten,عشرة
simple,بسيط
several,العديد
vowel,حرف متحرك
toward,باتجاه
war,حرب
lay,بسط
against,ضد
pattern,نمط
slow,بطيء
center,المركز
love,الحب
person,شخص
money,مال
serve,يخدم
appear,يظهر
road,طريق
map,خريطة
rain,تمطر
rule,قاعدة
govern,حكم
pull,يحذب
cold,البرد
notice,تنويه
voice,صوت بشري
energy,طاقة
hunt,مطاردة
probable,محتمل
bed,سرير
brother,شقيق
egg,بيضة
ride,اركب
cell,زنزانة
believe,يصدق
perhaps,ربما
pick,قطف او يقطف
sudden,مفاجئ
count,عدد
square,ميدان
reason,السبب
length,الطول
represent,تركيز
art,فن
subject,موضوعات
region,منطقة
size,بحجم
vary,يتغير
settle,يستقر
speak,تحدث
weight,وزن
